Epoch,Accuracy
1,0.4897406116918312
2,0.5555071622144793
3,0.6144502516453736
4,0.6711188540456833
5,0.7198509485094851
6,0.759194734804491
7,0.7934088269454123
8,0.8176054974835463
9,0.8417053813395277
10,0.8635791715060007
11,0.8725319396051103
12,0.8794037940379403
13,0.8940185830429733
14,0.9000677506775068
15,0.9089237320944638
16,0.9153600464576074
17,0.9201025938830817
18,0.926296941540844
19,0.9284746418892761
20,0.9355400696864111
21,0.9377177700348432
22,0.9384436701509872
23,0.9442024777390631
24,0.9412020905923345
25,0.9444928377855207
26,0.9498644986449865
27,0.9522357723577236
28,0.9518970189701897
29,0.9548974061169183
30,0.9578010065814944
31,0.9544134727061556
32,0.9554297328687572
33,0.9597367402245451
34,0.961527293844367
35,0.9595915602013163
36,0.9622048006194348
37,0.9651084010840109
38,0.9660278745644599
39,0.9657375145180023
40,0.9646244676732482
41,0.9653987611304684
42,0.9694154084397987
43,0.9696089818041037
44,0.9675280681378242
45,0.9695121951219512
46,0.9703348819202477
47,0.969463801780875
48,0.9724157955865272
49,0.9726577622919086
50,0.9729965156794426
