Epoch,Accuracy
1,0.4950154858691444
2,0.5467479674796748
3,0.6004645760743321
4,0.6611014324428959
5,0.7118176538908246
6,0.751984126984127
7,0.7863917924893534
8,0.8122338366240806
9,0.8358497870692992
10,0.8568041037553232
11,0.8684185056136275
12,0.8830332946186604
13,0.8871951219512195
14,0.9039876113046845
15,0.9109078590785907
16,0.9184572202864886
17,0.9213608207510646
18,0.9295392953929539
19,0.9318137824235385
20,0.9345238095238095
21,0.9407181571815718
22,0.9426538908246226
23,0.9464769647696477
24,0.9505420054200542
25,0.9522841656987998
26,0.9565427797135114
27,0.9550425861401471
28,0.9584785133565621
29,0.961527293844367
30,0.9581397599690282
31,0.9593012001548586
32,0.9591076267905536
33,0.9627371273712737
34,0.9645276809910956
35,0.9625919473480449
36,0.9671893147502904
37,0.9692702284165698
38,0.966753774680604
39,0.9684475416182733
40,0.9697057684862563
41,0.9708672086720868
42,0.9699477351916377
43,0.9691250483933411
44,0.9706736353077816
45,0.9741095625241967
46,0.9727061556329849
47,0.9748838559814169
48,0.976335656213705
49,0.9727061556329849
50,0.9728997289972899
